"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","testAddTag","Surefire suite","Sun Jun 08 20:00:56 GMT 2025","skipped","Sun Jun 08 20:00:56 GMT 2025","playground.tests.TagsInputBoxTest","Surefire test","playground.tests.TagsInputBoxTest","testAddTag"
"","0","testClickDropDownChooseItem","Surefire suite","Sun Jun 08 20:00:57 GMT 2025","skipped","Sun Jun 08 20:00:57 GMT 2025","playground.tests.MultiLevelDropDownTest","Surefire test","playground.tests.MultiLevelDropDownTest","testClickDropDownChooseItem"
"","0","testShownInfoSuccess","Surefire suite","Sun Jun 08 20:00:56 GMT 2025","skipped","Sun Jun 08 20:00:56 GMT 2025","playground.tests.VerifyAccountTest","Surefire test","playground.tests.VerifyAccountTest","testShownInfoSuccess"
"","0","testClickDropDownChooseOtherItem","Surefire suite","Sun Jun 08 20:00:57 GMT 2025","skipped","Sun Jun 08 20:00:57 GMT 2025","playground.tests.MultiLevelDropDownTest","Surefire test","playground.tests.MultiLevelDropDownTest","testClickDropDownChooseOtherItem"
"","0","testContainsItemAs","Surefire suite","Sun Jun 08 20:00:57 GMT 2025","skipped","Sun Jun 08 20:00:57 GMT 2025","playground.tests.MultiLevelDropDownTest","Surefire test","playground.tests.MultiLevelDropDownTest","testContainsItemAs"
"","1","testGetTitleDynamicAppPage","Surefire suite","Sun Jun 08 20:00:56 GMT 2025","skipped","Sun Jun 08 20:00:56 GMT 2025","playground.tests.DynamicTest","Surefire test","playground.tests.DynamicTest","testGetTitleDynamicAppPage"
"","0","testClickAllStars","Surefire suite","Sun Jun 08 20:00:56 GMT 2025","skipped","Sun Jun 08 20:00:56 GMT 2025","playground.tests.RatingTest","Surefire test","playground.tests.RatingTest","testClickAllStars"
"","1","setUp","Surefire suite","Sun Jun 08 20:00:56 GMT 2025","broken","Sun Jun 08 20:00:56 GMT 2025","playground.tests.DynamicTest","Surefire test","playground.tests.DynamicTest","setUp"
"","0","testGetItem","Surefire suite","Sun Jun 08 20:00:56 GMT 2025","skipped","Sun Jun 08 20:00:56 GMT 2025","playground.tests.DynamicTest","Surefire test","playground.tests.DynamicTest","testGetItem"
"","0","testAddTag","Surefire suite","Sun Jun 08 20:00:56 GMT 2025","skipped","Sun Jun 08 20:00:56 GMT 2025","playground.tests.TagsInputBoxTest","Surefire test","playground.tests.TagsInputBoxTest","testAddTag"
"","1","testAddTag","Surefire suite","Sun Jun 08 20:00:56 GMT 2025","skipped","Sun Jun 08 20:00:56 GMT 2025","playground.tests.TagsInputBoxTest","Surefire test","playground.tests.TagsInputBoxTest","testAddTag"
"","0","testEnterTheCode","Surefire suite","Sun Jun 08 20:00:56 GMT 2025","skipped","Sun Jun 08 20:00:56 GMT 2025","playground.tests.VerifyAccountTest","Surefire test","playground.tests.VerifyAccountTest","testEnterTheCode"
"","0","testInnerSubTitleIsSown","Surefire suite","Sun Jun 08 20:00:57 GMT 2025","skipped","Sun Jun 08 20:00:57 GMT 2025","playground.tests.OnBoardingModalTest","Surefire test","playground.tests.OnBoardingModalTest","testInnerSubTitleIsSown"
"","1","setUp","Surefire suite","Sun Jun 08 20:00:56 GMT 2025","broken","Sun Jun 08 20:00:56 GMT 2025","playground.tests.VerifyAccountTest","Surefire test","playground.tests.VerifyAccountTest","setUp"
"","0","setUp","Surefire suite","Sun Jun 08 20:00:56 GMT 2025","broken","Sun Jun 08 20:00:56 GMT 2025","playground.tests.RatingTest","Surefire test","playground.tests.RatingTest","setUp"
"","0","testClickRatingStarsNumber","Surefire suite","Sun Jun 08 20:00:56 GMT 2025","skipped","Sun Jun 08 20:00:56 GMT 2025","playground.tests.RatingTest","Surefire test","playground.tests.RatingTest","testClickRatingStarsNumber"
"","0","testGetTitleOnBoardingPage","Surefire suite","Sun Jun 08 20:00:57 GMT 2025","skipped","Sun Jun 08 20:00:57 GMT 2025","playground.tests.OnBoardingModalTest","Surefire test","playground.tests.OnBoardingModalTest","testGetTitleOnBoardingPage"
"","1","testGetItem","Surefire suite","Sun Jun 08 20:00:57 GMT 2025","skipped","Sun Jun 08 20:00:57 GMT 2025","playground.tests.SortedListTest","Surefire test","playground.tests.SortedListTest","testGetItem"
